r_index_x,r_index_y,r_index_z
0.6090587377548218,0.6708290576934814,-2.0942201614379883
0.6090587377548218,0.6708290576934814,-2.0942201614379883
0.628993034362793,0.6716762185096741,-2.1208994388580322
0.630761981010437,0.6672568321228027,-2.0399277210235596
0.6224684715270996,0.6989762187004089,-1.9026119709014893
0.6520373225212097,0.6611061692237854,-2.1523776054382324
0.642350435256958,0.6768946051597595,-1.6762391328811646
0.642350435256958,0.6768946051597595,-1.6762391328811646
0.6327041387557983,0.6483694314956665,-1.813863754272461
0.6263935565948486,0.6259294748306274,-2.196713924407959
0.621880292892456,0.6058510541915894,-1.9379804134368896
0.5927795767784119,0.587517499923706,-1.9178307056427002
0.588142991065979,0.5635383129119873,-1.87589430809021
0.5825880765914917,0.5444097518920898,-2.2422518730163574
0.5825880765914917,0.5444097518920898,-2.2422518730163574
0.5681203603744507,0.5174442529678345,-1.9720348119735718
0.5681203603744507,0.5174442529678345,-1.9720348119735718
0.577648401260376,0.46243417263031006,-2.4939656257629395
0.577648401260376,0.46243417263031006,-2.4939656257629395
0.569953441619873,0.4485424757003784,-2.192976951599121
0.569953441619873,0.4485424757003784,-2.192976951599121
0.5577871799468994,0.42193710803985596,-2.099684953689575
0.5577871799468994,0.42193710803985596,-2.099684953689575
0.547417163848877,0.4094717502593994,-2.049745559692383
0.5553230047225952,0.3953588008880615,-2.258411407470703
0.550588846206665,0.38486671447753906,-2.0349957942962646
0.550588846206665,0.38486671447753906,-2.0349957942962646
0.5482217073440552,0.38762736320495605,-2.1336288452148438
0.5330626964569092,0.41930150985717773,-2.1123735904693604
0.5366845726966858,0.4282323122024536,-1.9693199396133423
0.5270825624465942,0.44497644901275635,-2.071392774581909
0.5091046690940857,0.46595215797424316,-1.9106086492538452
0.5054069757461548,0.4568692445755005,-1.8638914823532104
0.49479737877845764,0.4806736707687378,-2.0401551723480225
0.4710925221443176,0.5186514854431152,-1.7239291667938232
0.4710925221443176,0.5186514854431152,-1.7239291667938232
0.4725407361984253,0.5320192575454712,-1.9762616157531738
0.4503154754638672,0.5601308345794678,-2.128798007965088
0.43670129776000977,0.6090823411941528,-1.8534034490585327
0.43670129776000977,0.6090823411941528,-1.8534034490585327
0.4281271696090698,0.6281676292419434,-1.917878270149231
0.42204898595809937,0.6470304727554321,-1.8918344974517822
0.4089115858078003,0.6804212331771851,-1.7126837968826294
0.4006354808807373,0.6931434869766235,-2.06612229347229
0.3979046940803528,0.7026795148849487,-1.9157506227493286
0.3979046940803528,0.7026795148849487,-1.9157506227493286
0.39661240577697754,0.7050753831863403,-1.852064847946167
0.39661240577697754,0.7050753831863403,-1.852064847946167
0.4146476984024048,0.7099273204803467,-2.1572651863098145
0.41974687576293945,0.7028095722198486,-2.0625431537628174
0.44169527292251587,0.7050493955612183,-2.259089469909668
0.44169527292251587,0.7050493955612183,-2.259089469909668
0.48451855778694153,0.6892701983451843,-1.7890981435775757
0.5143390893936157,0.6816527247428894,-2.1896586418151855
0.5523271560668945,0.680517852306366,-2.00465989112854
0.5523271560668945,0.680517852306366,-2.00465989112854
0.5933609008789062,0.6770352721214294,-1.9592417478561401
0.6152153015136719,0.7053179144859314,-1.931298017501831
0.6697933077812195,0.6810872554779053,-1.8836827278137207
0.706047534942627,0.663672924041748,-1.8285921812057495
